WE_41B884,STUDBME2,Daisy,01118680688,01141472186,01118809880,RehabLab,01146880660,Alariny,El-lab,OPPO F9,CUFE,C_H_S_3,C_H_S_4,Etisalat,AndroidAP3AA9,AG,youssef,aya1,Dydy,C_H_S,C_H_S_2,STUDBME1,CMP_LAB1,CMP_LAB2,CMP_LAB3,Farouk,Mo_Hamza,sheren,location
-60,-48,-76,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-50,-100,-100,-100,-81,-69,-67,-100,-100,-100,-100,-60,-100,-100,HW 32
-58,-58,-69,-100,-100,-100,-75,-100,-100,-100,-61,-61,-100,-100,-100,-48,-49,-100,-100,-84,-100,-100,-58,-100,-100,-100,-57,-100,-100,HW 32
-56,-55,-69,-100,-100,-100,-100,-100,-100,-100,-58,-100,-100,-100,-100,-44,-53,-100,-100,-93,-100,-100,-64,-100,-100,-100,-60,-100,-100,HW 32
-62,-51,-72,-100,-100,-100,-65,-100,-100,-100,-59,-100,-100,-100,-100,-43,-51,-100,-100,-88,-100,-100,-100,-50,-100,-100,-66,-100,-100,HW 32
-56,-51,-74,-100,-100,-100,-69,-100,-100,-100,-56,-100,-100,-100,-100,-50,-49,-100,-100,-82,-100,-100,-61,-100,-100,-100,-64,-100,-100,HW 32
-54,-46,-80,-100,-100,-100,-59,-100,-63,-73,-57,-59,-68,-67,-100,-53,-55,-100,-100,-79,-69,-73,-64,-100,-100,-100,-59,-100,-100,HW 32
-53,-46,-82,-100,-100,-100,-69,-100,-63,-100,-55,-100,-100,-100,-100,-48,-48,-100,-100,-86,-100,-100,-62,-100,-100,-100,-57,-100,-100,HW 32
-56,-50,-82,-100,-100,-100,-100,-100,-100,-100,-57,-58,-100,-72,-100,-48,-49,-100,-100,-85,-100,-70,-63,-44,-46,-46,-55,-100,-87,HW 32
-51,-53,-79,-100,-100,-87,-65,-100,-100,-100,-66,-65,-73,-100,-100,-33,-53,-100,-100,-84,-100,-73,-69,-57,-59,-100,-57,-64,-100,HW 32
-56,-51,-100,-100,-100,-100,-69,-100,-65,-73,-62,-100,-72,-72,-72,-43,-60,-100,-100,-90,-100,-70,-100,-100,-52,-51,-65,-62,-100,HW 32
-59,-55,-87,-100,-100,-92,-71,-100,-66,-100,-59,-61,-100,-100,-100,-40,-55,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-59,-100,HW 32
-56,-56,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-45,-43,-100,-100,-100,-100,-67,-67,-100,-100,-100,-69,-100,-100,HW 32
-55,-51,-100,-100,-100,-100,-67,-100,-68,-78,-57,-58,-100,-100,-100,-51,-59,-100,-100,-100,-100,-100,-63,-42,-100,-45,-64,-100,-100,HW 32
-58,-53,-100,-100,-100,-100,-57,-100,-72,-74,-57,-60,-100,-100,-70,-54,-100,-100,-100,-100,-100,-67,-63,-43,-45,-46,-53,-72,-100,HW 32
-57,-47,-100,-100,-100,-100,-100,-100,-100,-100,-59,-63,-100,-100,-68,-51,-55,-100,-100,-100,-100,-100,-56,-46,-49,-46,-56,-68,-100,HW 32
-58,-53,-100,-100,-100,-100,-60,-100,-100,-100,-65,-100,-100,-100,-100,-54,-55,-100,-100,-100,-100,-100,-59,-100,-100,-100,-51,-100,-100,HW 32
-55,-52,-100,-100,-100,-100,-100,-100,-100,-100,-59,-70,-75,-74,-70,-51,-53,-100,-100,-100,-100,-73,-100,-49,-100,-100,-100,-71,-100,HW 32
-56,-51,-100,-91,-100,-100,-100,-90,-100,-100,-68,-66,-100,-100,-100,-55,-61,-100,-100,-100,-100,-100,-59,-47,-48,-100,-61,-100,-100,HW 32
-65,-56,-100,-89,-100,-100,-64,-100,-100,-100,-53,-63,-61,-64,-100,-45,-56,-100,-100,-100,-61,-67,-100,-100,-50,-50,-57,-100,-88,HW 32
-67,-48,-100,-100,-100,-100,-100,-100,-100,-74,-53,-100,-100,-100,-62,-28,-54,-100,-100,-100,-100,-100,-64,-100,-100,-100,-50,-100,-100,HW 32
-65,-52,-100,-100,-100,-100,-56,-100,-100,-100,-54,-65,-72,-100,-100,-34,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,HW 32
-63,-54,-100,-100,-100,-100,-59,-100,-100,-100,-52,-100,-100,-100,-100,-68,-54,-100,-100,-100,-100,-100,-63,-45,-100,-44,-51,-100,-100,HW 32
-64,-55,-100,-100,-100,-100,-100,-100,-100,-100,-55,-66,-100,-100,-60,-26,-58,-100,-100,-100,-100,-100,-61,-48,-100,-100,-55,-100,-100,HW 32
-60,-50,-100,-100,-100,-100,-65,-100,-70,-100,-60,-63,-100,-100,-66,-33,-57,-100,-89,-100,-100,-100,-67,-100,-46,-100,-51,-63,-100,HW 32
