youssef,01118680688,aya1,sheren,Mariem,CMP_LAB4,01118809880,WE_41B884,El-modarag,STUDBME2,Avaya,C_H_S_4,C_H_S_2,AndroidAP3AA9,AG,Gamil,ATHAR,STUDBME1,Orange-,Dlink,01146880660,01141472186,CMP_LAB3,CMP_LAB1,CMP_LAB2,C_H_S,C_H_S_3,location
-80,-88,-74,-61,-72,-72,-83,-66,-74,-63,-100,-84,-100,-46,-75,-80,-100,-64,-100,-87,-81,-83,-72,-72,-100,-82,-100,HW 23
-79,-83,-74,-70,-77,-100,-90,-65,-100,-68,-100,-100,-78,-33,-100,-83,-100,-62,-100,-86,-79,-81,-67,-70,-100,-75,-100,HW 23
-76,-100,-77,-100,-67,-100,-81,-65,-74,-63,-92,-100,-100,-38,-78,-80,-100,-100,-100,-100,-82,-82,-100,-66,-100,-100,-100,HW 23
-72,-85,-100,-62,-76,-100,-88,-69,-73,-68,-100,-77,-100,-47,-71,-85,-100,-53,-100,-86,-85,-91,-70,-100,-71,-75,-100,HW 23
-71,-86,-100,-100,-67,-100,-87,-68,-100,-68,-100,-100,-80,-46,-100,-100,-100,-64,-100,-100,-85,-90,-75,-73,-100,-100,-100,HW 23
-73,-84,-69,-69,-71,-100,-85,-69,-72,-65,-100,-75,-100,-43,-71,-100,-100,-100,-100,-89,-86,-85,-100,-83,-100,-100,-77,HW 23
-73,-100,-74,-70,-68,-100,-82,-63,-77,-71,-100,-100,-78,-40,-77,-80,-100,-100,-100,-88,-85,-100,-70,-100,-100,-78,-100,HW 23
-74,-83,-100,-69,-100,-74,-82,-62,-73,-62,-100,-100,-100,-43,-73,-100,-100,-66,-100,-100,-83,-84,-72,-74,-73,-100,-80,HW 23
-78,-83,-67,-100,-67,-100,-100,-71,-69,-66,-100,-76,-100,-36,-75,-81,-100,-100,-100,-91,-83,-85,-100,-100,-72,-100,-77,HW 23
-82,-81,-75,-63,-70,-100,-80,-66,-73,-67,-100,-100,-81,-38,-100,-100,-100,-66,-100,-85,-81,-86,-100,-100,-100,-78,-100,HW 23
-84,-84,-75,-67,-74,-79,-74,-70,-75,-70,-100,-100,-100,-40,-100,-78,-100,-73,-100,-100,-74,-84,-100,-78,-100,-100,-78,HW 23
-78,-81,-74,-66,-75,-100,-89,-68,-76,-70,-100,-82,-100,-42,-79,-84,-100,-100,-100,-100,-88,-88,-81,-100,-82,-83,-100,HW 23
-78,-84,-76,-58,-70,-100,-100,-77,-73,-74,-100,-100,-100,-40,-71,-90,-100,-66,-100,-100,-87,-100,-100,-100,-100,-100,-100,HW 23
-71,-100,-82,-61,-72,-100,-84,-70,-78,-69,-100,-86,-100,-63,-100,-85,-100,-78,-100,-100,-89,-82,-100,-100,-85,-100,-85,HW 23
-69,-100,-78,-59,-77,-100,-79,-78,-75,-77,-100,-100,-100,-43,-80,-84,-100,-68,-100,-89,-81,-85,-87,-100,-87,-83,-100,HW 23
-75,-80,-81,-66,-78,-74,-87,-77,-75,-78,-100,-100,-100,-42,-100,-78,-100,-76,-100,-100,-80,-81,-100,-77,-100,-100,-100,HW 23
-71,-87,-79,-63,-100,-80,-87,-73,-69,-77,-100,-100,-100,-38,-100,-100,-100,-78,-100,-89,-90,-87,-80,-84,-81,-100,-100,HW 23
-67,-83,-73,-65,-78,-100,-89,-73,-73,-74,-100,-83,-100,-39,-86,-82,-100,-67,-100,-90,-90,-86,-87,-100,-100,-85,-100,HW 23
-69,-87,-75,-68,-86,-100,-100,-77,-75,-78,-100,-100,-100,-36,-100,-76,-100,-73,-100,-100,-85,-100,-86,-100,-100,-100,-100,HW 23
-74,-92,-78,-65,-77,-100,-100,-75,-68,-86,-91,-100,-100,-36,-100,-100,-100,-100,-100,-86,-88,-88,-100,-100,-83,-100,-85,HW 23
