WE_41B884,aya1,Alaa1,Gamil,OPPO F9,STUDBME1,Mariem,CMP_LAB3,Alariny,CMP_LAB4,sheren,ARC3,youssef,El-modarag,STUDBME2,C_H_S,AndroidAP3AA9,Sbme-Staff,AG,CMP_LAB1,CMP_LAB2,Farouk,C_H_S_3,Alaa,redmi,Avaya,ARC1,C_H_S_4,RehabLab,El-lab,C_H_S_2,location
-70,-100,-100,-64,-92,-31,-55,-100,-100,-100,-68,-100,-96,-60,-64,-100,-55,-81,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 12
-69,-100,-100,-63,-100,-28,-54,-100,-100,-100,-64,-68,-100,-56,-61,-86,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-91,-100,-100,HW 12
-71,-100,-100,-62,-90,-30,-45,-100,-100,-100,-62,-100,-100,-62,-56,-100,-40,-83,-63,-71,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 12
-65,-100,-100,-65,-100,-32,-52,-100,-100,-100,-57,-61,-100,-63,-58,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 12
-69,-94,-100,-100,-90,-40,-46,-100,-91,-100,-64,-64,-100,-62,-62,-100,-47,-78,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,HW 12
-69,-91,-100,-100,-93,-48,-49,-100,-100,-100,-64,-63,-100,-60,-58,-100,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 12
-66,-100,-100,-73,-100,-24,-49,-100,-100,-100,-67,-100,-100,-65,-68,-100,-55,-100,-85,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,HW 12
-66,-100,-100,-100,-100,-41,-54,-74,-100,-74,-71,-66,-100,-66,-62,-82,-46,-84,-100,-75,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,HW 12
-72,-100,-100,-60,-92,-100,-63,-74,-100,-100,-78,-67,-100,-60,-70,-83,-42,-100,-71,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 12
-67,-100,-100,-64,-100,-39,-75,-100,-100,-100,-100,-100,-90,-100,-77,-100,-47,-77,-100,-100,-100,-100,-80,-100,-100,-98,-100,-100,-100,-100,-82,HW 12
-64,-94,-100,-60,-100,-42,-52,-77,-100,-100,-75,-100,-100,-66,-70,-100,-59,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,HW 12
-69,-91,-100,-100,-100,-33,-46,-100,-100,-100,-100,-100,-90,-69,-63,-100,-52,-100,-76,-100,-100,-100,-79,-100,-89,-100,-100,-100,-100,-100,-100,HW 12
-72,-94,-100,-64,-91,-72,-46,-100,-100,-100,-100,-62,-94,-67,-62,-100,-58,-82,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-93,-100,-81,HW 12
-69,-89,-100,-68,-100,-49,-45,-87,-100,-72,-100,-100,-88,-63,-68,-100,-54,-100,-100,-74,-72,-79,-76,-100,-100,-100,-76,-100,-100,-100,-100,HW 12
-69,-100,-100,-64,-89,-46,-45,-100,-100,-100,-100,-57,-100,-59,-57,-100,-69,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,HW 12
-67,-100,-100,-100,-88,-48,-44,-100,-100,-100,-100,-100,-93,-100,-62,-81,-26,-87,-75,-100,-72,-100,-76,-100,-100,-100,-78,-100,-100,-100,-100,HW 12
-70,-100,-100,-78,-88,-44,-42,-70,-100,-70,-100,-72,-100,-68,-67,-100,-39,-100,-100,-71,-100,-82,-82,-100,-100,-100,-100,-100,-91,-100,-82,HW 12
-66,-100,-94,-74,-100,-44,-49,-73,-100,-100,-100,-100,-100,-65,-100,-85,-42,-100,-72,-71,-73,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,HW 12
-69,-90,-100,-100,-84,-51,-50,-100,-100,-100,-84,-68,-91,-71,-58,-100,-33,-100,-100,-100,-100,-75,-74,-100,-100,-100,-100,-100,-100,-100,-75,HW 12
-65,-87,-100,-100,-89,-100,-55,-100,-82,-100,-100,-69,-94,-69,-64,-77,-31,-100,-70,-100,-100,-100,-79,-100,-100,-100,-100,-78,-91,-100,-78,HW 12
-68,-100,-100,-100,-92,-42,-49,-100,-100,-100,-100,-100,-100,-65,-60,-75,-28,-100,-54,-100,-100,-78,-72,-100,-100,-100,-87,-72,-89,-100,-74,HW 12
-67,-100,-86,-75,-83,-45,-61,-64,-100,-100,-100,-70,-92,-71,-59,-74,-61,-100,-54,-100,-100,-68,-74,-100,-100,-100,-100,-73,-82,-100,-74,HW 12
-67,-85,-100,-73,-91,-54,-56,-100,-82,-100,-100,-65,-94,-70,-66,-100,-58,-100,-57,-68,-70,-68,-82,-100,-100,-100,-100,-80,-100,-81,-100,HW 12
-66,-89,-100,-76,-92,-100,-61,-75,-100,-72,-100,-72,-86,-71,-63,-76,-59,-100,-65,-100,-100,-100,-75,-100,-100,-100,-100,-74,-100,-100,-76,HW 12
-67,-88,-100,-86,-91,-52,-100,-100,-100,-100,-100,-71,-89,-74,-68,-100,-26,-100,-58,-79,-100,-80,-70,-100,-100,-100,-100,-71,-100,-100,-100,HW 12
-69,-100,-87,-81,-88,-53,-72,-100,-100,-100,-100,-71,-100,-73,-67,-100,-61,-100,-74,-65,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-81,HW 12
-63,-94,-85,-86,-88,-47,-64,-100,-100,-100,-100,-71,-88,-70,-67,-100,-59,-100,-74,-100,-100,-67,-71,-100,-100,-100,-100,-72,-100,-100,-100,HW 12
-54,-100,-92,-76,-88,-55,-59,-100,-100,-100,-100,-66,-82,-67,-53,-83,-35,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-82,HW 12
-58,-84,-100,-74,-89,-50,-100,-75,-100,-100,-100,-100,-85,-74,-52,-100,-62,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 12
-57,-81,-100,-77,-90,-49,-65,-100,-100,-100,-100,-65,-100,-72,-51,-100,-34,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,HW 12
-61,-100,-87,-85,-89,-42,-60,-69,-100,-100,-100,-100,-83,-69,-51,-82,-32,-82,-88,-100,-70,-81,-81,-100,-100,-100,-100,-81,-100,-100,-79,HW 12
-58,-86,-86,-76,-89,-56,-100,-100,-100,-100,-100,-70,-88,-69,-53,-100,-62,-100,-100,-100,-100,-100,-74,-100,-87,-100,-100,-100,-88,-100,-76,HW 12
-54,-89,-100,-80,-85,-54,-64,-65,-80,-67,-100,-100,-88,-100,-53,-74,-30,-88,-100,-66,-66,-79,-100,-100,-100,-100,-100,-76,-100,-100,-100,HW 12
-56,-84,-100,-80,-90,-48,-64,-70,-100,-100,-83,-100,-100,-69,-56,-100,-40,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-76,HW 12
-59,-84,-87,-75,-90,-47,-57,-100,-100,-100,-100,-100,-89,-70,-49,-78,-46,-100,-81,-100,-69,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 12
