WE_41B884,STUDBME2,Alaa1,RehabLab,STUDBME1,CMP_LAB4,Mariem,CMP_LAB1,C_H_S,C_H_S_2,node,AndroidAP3AA9,AG,01146880660,OPPO F9,Dlink,C_H_S_3,Gamil,01118809880,youssef,Alariny,El-lab,CMP_LAB3,Farouk,CUFE,C_H_S_4,IE_Lab,01141472186,01118680688,CMP_LAB2,Alaa,location
-45,-45,-80,-100,-57,-54,-69,-100,-60,-60,-100,-56,-50,-100,-71,-88,-61,-100,-100,-100,-100,-100,-53,-100,-100,-61,-100,-100,-100,-100,-100,HW 31
-49,-42,-75,-100,-53,-100,-73,-100,-56,-53,-100,-49,-56,-100,-73,-100,-54,-100,-100,-100,-100,-100,-52,-62,-100,-54,-100,-100,-100,-53,-100,HW 31
-46,-50,-78,-75,-55,-100,-73,-100,-64,-66,-75,-52,-100,-100,-75,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,HW 31
-47,-51,-88,-100,-100,-100,-79,-55,-62,-60,-100,-51,-52,-100,-100,-100,-61,-100,-100,-100,-70,-69,-56,-75,-100,-62,-100,-100,-100,-100,-100,HW 31
-38,-50,-79,-81,-68,-60,-68,-100,-64,-64,-77,-47,-79,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-90,-100,-100,HW 31
-41,-53,-78,-77,-62,-60,-65,-100,-59,-59,-100,-50,-55,-100,-73,-90,-60,-100,-95,-90,-100,-100,-58,-66,-100,-59,-100,-100,-88,-60,-100,HW 31
-45,-53,-83,-100,-61,-56,-72,-59,-61,-64,-100,-52,-62,-100,-82,-87,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 31
-48,-52,-100,-100,-50,-61,-70,-100,-100,-100,-87,-52,-62,-100,-78,-89,-70,-100,-100,-87,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,HW 31
-48,-46,-79,-100,-59,-100,-74,-100,-100,-66,-83,-35,-57,-100,-81,-100,-65,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-82,HW 31
-45,-45,-78,-100,-51,-100,-71,-100,-100,-100,-100,-47,-57,-100,-91,-100,-100,-100,-100,-85,-100,-72,-62,-100,-100,-100,-100,-100,-100,-100,-100,HW 31
