WE_41B884,youssef,STUDBME2,CMP_LAB3,El-modarag,STUDBME1,CMP_LAB4,CMP_LAB2,ARC3,Sbme-Staff,CMP_LAB1,El-lab,Mo_Hamza,Farouk,RehabLab,Gamil,TP-Link_463C,redmi,ARC1,location
-43,-100.0,-47,-100,-100.0,-56.0,-51.0,-50.0,-100.0,-100.0,-51.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-79,-100.0,-100,-100,-86.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6
-60,-100.0,-56,-100,-100.0,-66.0,-100.0,-51.0,-100.0,-100.0,-100.0,-100.0,-100.0,-55.0,-66.0,-100.0,-100.0,-100.0,-100.0,11
-74,-64.0,-79,-81,-76.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,8
-42,-100.0,-49,-100,-100.0,-51.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-67,-81.0,-73,-100,-83.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6
-52,-83.0,-48,-100,-100.0,-55.0,-100.0,-63.0,-100.0,-100.0,-62.0,-83.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-63,-100.0,-56,-69,-100.0,-100.0,-72.0,-69.0,-100.0,-100.0,-70.0,-52.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,13
-56,-78.0,-64,-100,-100.0,-48.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,7
-67,-100.0,-56,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-44.0,-62.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,12
-65,-82.0,-64,-100,-70.0,-43.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-68.0,-100.0,-100.0,-100.0,5
-44,-89.0,-46,-57,-100.0,-66.0,-100.0,-57.0,-100.0,-100.0,-57.0,-69.0,-100.0,-65.0,-86.0,-100.0,-100.0,-100.0,-100.0,9
-64,-100.0,-56,-100,-74.0,-44.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,7
-62,-93.0,-57,-100,-66.0,-44.0,-100.0,-100.0,-68.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61.0,-100.0,-100.0,-100.0,5
-46,-100.0,-48,-58,-100.0,-56.0,-55.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-59.0,-74.0,-100.0,-100.0,-100.0,-100.0,9
-51,-100.0,-47,-100,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-46.0,-65.0,-72.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,10
-76,-93.0,-70,-100,-59.0,-48.0,-100.0,-83.0,-65.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,5
-73,-77.0,-71,-100,-74.0,-69.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,8
-76,-75.0,-72,-100,-71.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,8
-63,-100.0,-54,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-55.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,13
-73,-100.0,-60,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-46.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,12
